date,amount,category,description
2024-08-01,2800,income,Gehalt August
2024-08-03,-750,rent,Miete
2024-08-05,-45,transport,Monatsticket ÖPNV
2024-08-07,-135,groceries,Wocheneinkauf
2024-08-10,-40,utilities,Strom
2024-08-12,-15,streaming,Netflix Abo
2024-08-12,-10,streaming,Spotify Premium
2024-08-15,-70,restaurant,Essen gehen
2024-08-18,-110,groceries,Einkauf
2024-08-20,-30,utilities,Internet
2024-08-22,-50,restaurant,Essen gehen
2024-08-25,-25,transport,ÖPNV
2024-09-01,2800,income,Gehalt September
2024-09-03,-750,rent,Miete
2024-09-05,-45,transport,Monatsticket ÖPNV
2024-09-07,-120,groceries,Wocheneinkauf
2024-09-10,-37,utilities,Strom
2024-09-12,-15,streaming,Netflix Abo
2024-09-12,-10,streaming,Spotify Premium
2024-09-15,-65,restaurant,Essen gehen
2024-09-18,-95,groceries,Einkauf
2024-09-20,-30,utilities,Internet
2024-09-22,-55,restaurant,Essen gehen
2024-09-25,-200,shopping,Herbstkleidung
2024-09-28,-28,transport,ÖPNV
2024-10-01,2800,income,Gehalt Oktober
2024-10-03,-750,rent,Miete
2024-10-05,-45,transport,Monatsticket ÖPNV
2024-10-07,-125,groceries,Wocheneinkauf
2024-10-10,-39,utilities,Strom
2024-10-12,-15,streaming,Netflix Abo
2024-10-12,-10,streaming,Spotify Premium
2024-10-15,-75,restaurant,Essen gehen
2024-10-18,-100,groceries,Einkauf
2024-10-20,-30,utilities,Internet
2024-10-22,-60,restaurant,Essen gehen
2024-10-25,-25,transport,ÖPNV
2024-11-01,2800,income,Gehalt November
2024-11-03,-750,rent,Miete
2024-11-05,-45,transport,Monatsticket ÖPNV
2024-11-07,-140,groceries,Wocheneinkauf
2024-11-10,-41,utilities,Strom
2024-11-12,-15,streaming,Netflix Abo
2024-11-12,-10,streaming,Spotify Premium
2024-11-15,-90,restaurant,Essen gehen
2024-11-18,-115,groceries,Einkauf
2024-11-20,-30,utilities,Internet
2024-11-22,-100,restaurant,Geburtstagsfeier
2024-11-25,-250,shopping,Geschenke
2024-11-28,-30,transport,ÖPNV
2024-12-01,2800,income,Gehalt Dezember
2024-12-03,-750,rent,Miete
2024-12-05,-45,transport,Monatsticket ÖPNV
2024-12-07,-150,groceries,Weihnachtseinkauf
2024-12-10,-43,utilities,Strom
2024-12-12,-15,streaming,Netflix Abo
2024-12-12,-10,streaming,Spotify Premium
2024-12-15,-120,restaurant,Weihnachtsfeier
2024-12-18,-130,groceries,Einkauf
2024-12-20,-30,utilities,Internet
2024-12-22,-110,restaurant,Essen gehen
2024-12-25,-400,shopping,Weihnachtsgeschenke
2024-12-28,-30,transport,ÖPNV
